"geno_name","source_lat","source_long","sexual_recruit","source_date","geno_definition","CSR_accession","mlg_id","geno_source","origin_nursery","microsat_id","mlg_geno_id","alt_names","geno_id"
"Trans 2",25.36413,-80.17638,0,"2010-01-01",NA,"5ea54167-7337-c096-2b53-d3aebd3d7dfa",NA,NA,"University of Miami",NA,NA,NA,97
"Trav's Reef",25.35028,-80.18623,0,"2010-01-01","microsat","7f6377cc-d37f-cf51-2dd2-329a78a8cbd1",NA,NA,"University of Miami","C1361",NA,NA,98
"DR-A",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Cana","Lirman DR",NA,NA,NA,99
"B",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Cana","Lirman DR",NA,NA,NA,100
"THICK",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Cana","Lirman DR",NA,NA,NA,101
"THIN",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Cana","Lirman DR",NA,NA,NA,102
"B/B",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Rusia","Lirman DR",NA,NA,NA,103
"W/B",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Rusia","Lirman DR",NA,NA,NA,104
"W/G",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Rusia","Lirman DR",NA,NA,NA,105
"W/Y",NA,NA,0,NA,NA,NA,NA,"Lirman 2014 Punta Rusia","Lirman DR",NA,NA,NA,106
"Cheetos-C",25.32242,-80.18228,0,"2018-02-24",NA,"cc425b4a-8407-d0f2-44e9-ba1e9b79db05",NA,NA,"University of Miami",NA,NA,"CV FD",107
"Cheetos-D",25.32242,-80.18228,0,"2018-02-24",NA,"a8240e15-603f-81e3-f994-f925d97acd2a",NA,NA,"University of Miami",NA,NA,"CV FD",108
"FM3",24.6977,-80.9581,0,"2010-03-31","SNP","d677462a-07d1-ab85-f13b-36ae687c1f8d","HG0045","Lustic Acropora DB","FWC","C1217",11,NA,109
"Navassa",24.61877,-82.9202,0,"2010-12-07","microsat",NA,NA,"Lustic Acropora DB",NA,"C1300",NA,NA,110
"FM18 ",24.77885,-80.7349,0,"2010-04-21","SNP","6fb3cde6-f78d-5078-08ff-d5ab57507e3a","HG0586","Lustic Acropora DB","FWC","C1403 ",620,"CRF-062",111
"FM9",24.664266,-81.07655,0,"2010-04-28","SNP","f54b1627-e55f-dcb9-228e-c8d0ec4d5e61","HG0559","Lustic Acropora DB","FWC","C1397",626,"CRF-064",112
"M10",24.692316,-80.97575,0,"2008-12-06","SNP","eba13e68-725f-a67b-7682-d82fc37adba9","HG0016","Ross-CBASS","CRF","C1478",18,"CRF-047",113
"FM11",24.640183,-81.066883,0,"2010-05-07","microsat","16e29f17-7c36-f668-e248-744cee35643c",NA,"Lustic Acropora DB","FWC","C1400",NA,"CRF-072",114
"FM12",24.63965,-81.0662,0,"2010-05-07","SNP","452ebbeb-5538-babc-ab21-7cffd32ea25c","HG0963","Lustic Acropora DB","FWC","C1401",968,NA,115
"FM16",24.777183,-80.736366,0,"2010-04-21","microsat","285b00f1-c13e-77f3-b8cc-e9138c6ceb17",NA,"Lustic Acropora DB","FWC","C1402",NA,NA,116
"FM19",24.7763,-80.736516,0,"2010-04-21","SNP","9a0fdb22-e3f2-5a9c-ef6b-9933a7bc6f74","HG0972","Lustic Acropora DB","FWC","C1404",1004,NA,117
"FM15",24.778683,-80.735916,0,"2010-04-21","microsat","f153f542-4809-6453-3273-ba76a5515ea7",NA,"Lustic Acropora DB","FWC","C1405",NA,NA,118
"M5",24.711783,-80.945966,0,"2008-04-24","SNP","50082796-f15f-66a5-d917-06b4b29d6ff3","HG0005","Ross-CBASS","CRF","C1297",50,"CRF-031; CM5 ",119
"M1",24.721683,-80.927783,0,"2008-04-28","SNP","ef990f56-c279-db25-9f7d-8816449a701c","HG0694","Ross-CBASS","CRF","C1474",711,"CRF-033",120
"FM13",24.697666,-80.9581,0,"2010-05-05","SNP","cb7fe8c5-336d-095c-ff07-fadbad044e34","HG0580","Lustic Acropora DB","FWC","C1408",553,"CRF-067",121
"FM17",24.777133,-80.736183,0,"2010-04-21","microsat","1efd16eb-dd8d-7fc9-a95c-e5f68217a6c0",NA,"Lustic Acropora DB","FWC","C1409",NA,NA,122
"G1",24.63229,-82.9052,0,"2010-12-07","microsat","3b99dfec-3695-22db-962e-95301628a2c0",NA,"Lustic Acropora DB","The Nature Conservancy","C1441",NA,"TDT1",123
"U24",24.82555,-80.651616,0,"2008-05-06","SNP","e788d065-538e-2751-0ab4-364ca1507ff0","HG0558","Lustic Acropora DB","CRF","C1443",613,"CRF-35",124
"G18",24.70282,-82.7986,0,"2018-06-21","microsat","c554d097-2bc7-43fb-a70b-28b1f3170c78",NA,"Lustic Acropora DB","The Nature Conservancy","C1444",NA,NA,125
"G6",24.61908,-82.8974,0,"2010-12-08","microsat","c9d1e09b-d3f2-e6a9-6bc9-5c7662f55d75",NA,"Lustic Acropora DB","The Nature Conservancy","C1445",NA,NA,126
"G2",24.63239,-82.9053,0,"2010-12-07","microsat","8c130c36-b6de-98dc-1f6b-a1058e3163e4",NA,"Lustic Acropora DB","The Nature Conservancy","C1446",NA,"TDT2",127
"G11",24.62917,-82.8863,0,"2010-12-09","microsat","9f50f5a4-ae0d-51b7-1b8e-b17d0424f611",NA,"Lustic Acropora DB","The Nature Conservancy","C1447",NA,NA,128
"G15",24.70282,-82.7986,0,"2018-06-21","microsat","d2d34d25-29e1-a1f9-a76d-89c067aaf339",NA,"Lustic Acropora DB","The Nature Conservancy","C1448",NA,NA,129
"G17",24.70282,-82.7986,0,"2018-06-21","microsat","73447f99-8299-a44e-3336-0736f2b9d097",NA,"Lustic Acropora DB","The Nature Conservancy","C1449",NA,NA,130
"G16",24.70282,-82.7986,0,"2018-06-21","microsat","c3588c00-0ae3-1b4b-3e89-65c93aa3a8ab",NA,"Lustic Acropora DB","The Nature Conservancy","C1450",NA,NA,131
"MUTANT182",24.61908,-82.8974,0,"2010-12-07",NA,NA,NA,"Lustic Acropora DB",NA,NA,NA,NA,132
"ML5",24.52257,-81.51978,0,"2008-02-22","SNP","ab28d47f-9c48-873c-abd9-c719f08c619e","HG0553","STAGdb","Mote","C1157",567,"CRF-027",133
"ML7",24.56038,-81.50137,0,"2008-02-23","SNP","faaf3e37-60da-b78b-c753-7a0e2abd0458","HG0551","STAGdb","Mote","C1159",597,"CRF-028",134
"ML31",24.5477,-81.45696,0,"2010-03-18","SNP","109d8f4d-450c-9e67-f5e8-0b482570669f","HG0574","STAGdb","Mote","C1369",604,"CRF-056",135
"ML38",24.56306,-81.40063,0,"2010-04-05","SNP","685808c7-cc05-3d64-c677-ef7a03ec7d4c","HG0590","STAGdb","Mote","C1378",556,NA,136
"ML43",NA,NA,0,NA,"microsat",NA,NA,NA,"Mote","C1505",NA,NA,137
"ML54",24.55903,-81.41293,0,"2010-11-11","SNP","c8d0c18e-0def-9f7a-9c66-601405e7dbaa","HG0979",NA,"Mote","C1461",1003,NA,138
"ML44",24.5686,-81.3265,0,"2010-05-21","SNP","8886772c-cd80-b7a3-bd38-b77628e71ad6","HG0577","STAGdb","Mote","C1459",570,NA,139
"ML56",24.55912,-81.41357,0,"2010-11-11","SNP","0f435cde-ad4b-43f6-531a-88fb96b57a47","HG0550","STAGdb","Mote","C1510",584,"CRF-098",140
"ML3",24.56307,-81.401,0,"2008-02-23","SNP","a19b275e-17b7-8bbe-4cbc-d2e014f69fa9","HG0566","MullerGenotypePerformance2016","Mote","C1155",573,"CRF-026",141
"ML47",24.54835,-81.5332,0,"2010-05-25","SNP","b66278fa-ca63-7357-bbb7-1cb27778daf0","HG0577","MullerGenotypePerformance2016","Mote","C1376",570,NA,142
"ML50",24.54854,-81.53308,0,"2010-07-30","SNP","fa13971c-ea34-459e-2f13-7bfddbafd327","HG0152","MullerGenotypePerformance2016","Mote","C1170",162,"Ana's-RY; Ana's-C; Ana's-3; CRF-075",143
"ML62",24.52983,-81.64069,0,"2013-05-21","SNP","d071fbb0-7e67-9a01-6861-2895c526283f","HG0554","MullerGenotypePerformance2016","Mote",NA,576,"Ana's-GO; Ana's-B; Ana's-2",144
"ML63",24.52983,-81.64069,0,NA,"SNP",NA,"HG0554","MullerGenotypePerformance2016","Mote",NA,576,NA,145
"ML4",24.56935,-81.38168,0,"2008-02-23","SNP","9d625dc2-94c7-a268-100f-eb166b1b4817","HG0587",NA,"Mote","C1156",565,NA,146
"K1",24.9822,-80.4363,0,"1905-06-18","SNP","faf7a0dd-9f2d-aa38-848d-de08aa340ffb","HG0002","Ross-CBASS","CRF",NA,22,"CRF-007; CU007 ",147
"B8",24.710868,-80.947981,0,NA,"SNP",NA,"HG0868","Paradis","CRF",NA,927,"CRF-022",148
"K25",NA,NA,0,NA,NA,NA,NA,"Lohr2017","CRF",NA,NA,NA,149
